,Sweep,Mag,E_N,Beta,Temp,Mag_mean,Mag_max,Mag_min,E_mean,E_max,E_min
220,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
221,1,-0.7525,1.2825,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
222,2,-0.62375,1.035,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
223,3,-0.48,0.84,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
224,4,-0.38,0.7425,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
225,5,-0.295,0.6825,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
226,6,-0.2525,0.595,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
227,7,-0.2175,0.55,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
228,8,-0.19125,0.495,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
229,9,-0.15375,0.5075,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
230,10,-0.055,0.6,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
231,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
232,1,-0.72125,1.1825,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
233,2,-0.585,0.95,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
234,3,-0.47875,0.7825,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
235,4,-0.39125,0.71,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
236,5,-0.325,0.6225,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
237,6,-0.2175,0.6025,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
238,7,-0.1975,0.6275,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
239,8,-0.16,0.5875,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
240,9,-0.13,0.575,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
241,10,-0.1275,0.52,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
242,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
243,1,-0.765,1.295,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
244,2,-0.605,1.0175,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
245,3,-0.47625,0.7875,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
246,4,-0.35125,0.7025,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
247,5,-0.30125,0.655,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
248,6,-0.1625,0.62,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
249,7,-0.14125,0.63,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
250,8,-0.065,0.6825,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
251,9,-0.06125,0.5825,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
252,10,-0.025,0.6075,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
253,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
254,1,-0.74625,1.2875,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
255,2,-0.565,0.855,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
256,3,-0.43,0.715,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
257,4,-0.375,0.685,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
258,5,-0.23625,0.5725,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
259,6,-0.125,0.4775,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
260,7,-0.08375,0.5225,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
261,8,-0.0075,0.5025,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
262,9,-0.0875,0.5475,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
263,10,-0.01,0.465,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
264,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
265,1,-0.7525,1.31,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
266,2,-0.6225,1.0775,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
267,3,-0.55375,0.915,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
268,4,-0.44875,0.835,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
269,5,-0.3225,0.6575,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
