Temp,Mag_mean,Mag_sd,abs_Mag_mean,abs_Mag_sd,Mag_exact,E_N_mean,E_N_sd
1.31386,-0.994583,0.000397089,0.994583,0.000397089,0.994377,-3.9598,0.00287641
1.3184,-0.99424,0.000421654,0.99424,0.000421654,0.994244,-3.95706,0.0030266
1.32294,-0.99424,0.000397724,0.99424,0.000397724,0.994107,-3.95618,0.00298883
1.32747,-0.994436,0.000441857,0.994436,0.000441857,0.993968,-3.9602,0.00286275
1.33201,-0.992868,0.000439047,0.992868,0.000439047,0.993827,-3.94647,0.0031132
1.33655,-0.991887,0.000470154,0.991887,0.000470154,0.993683,-3.94069,0.00305511
1.34109,-0.99299,0.000444297,0.99299,0.000444297,0.993537,-3.94824,0.00302546
1.34563,-0.993824,0.000433595,0.993824,0.000433595,0.993388,-3.95314,0.00329872
1.35017,-0.993235,0.000374062,0.993235,0.000374062,0.993236,-3.95069,0.00270808
1.3547,-0.992892,0.000425144,0.992892,0.000425144,0.993082,-3.94775,0.0031321
1.35924,-0.991275,0.000567168,0.991275,0.000567168,0.992925,-3.93745,0.00349053
1.36378,-0.993333,0.000439567,0.993333,0.000439567,0.992765,-3.95078,0.00286073
1.36832,-0.993824,0.000437814,0.993824,0.000437814,0.992602,-3.95324,0.00310857
1.37286,-0.992377,0.000440386,0.992377,0.000440386,0.992437,-3.94216,0.00324568
1.3774,-0.99174,0.000514589,0.99174,0.000514589,0.992269,-3.93833,0.00379284
1.38193,-0.992181,0.000387999,0.992181,0.000387999,0.992097,-3.94147,0.00288095
1.38647,-0.99174,0.000372259,0.99174,0.000372259,0.991923,-3.93843,0.00279176
1.39101,-0.992574,0.000454298,0.992574,0.000454298,0.991746,-3.94402,0.00341284
1.39555,-0.990613,0.000490564,0.990613,0.000490564,0.991566,-3.93098,0.00337819
1.40009,-0.990221,0.000565237,0.990221,0.000565237,0.991383,-3.92686,0.00392568
1.40463,-0.990147,0.000596812,0.990147,0.000596812,0.991197,-3.92775,0.00392157
1.40916,-0.991422,0.000567739,0.991422,0.000567739,0.991008,-3.93745,0.00376353
1.4137,-0.989485,0.000692375,0.989485,0.000692375,0.990816,-3.92441,0.004654
1.41824,-0.988922,0.000588929,0.988922,0.000588929,0.99062,-3.92029,0.00379476
1.42278,-0.989706,0.000566192,0.989706,0.000566192,0.990421,-3.92431,0.0039383
1.42732,-0.99125,0.000565555,0.99125,0.000565555,0.990219,-3.93529,0.00386896
1.43186,-0.988529,0.000714611,0.988529,0.000714611,0.990014,-3.91637,0.0048831
1.43639,-0.989706,0.000529276,0.989706,0.000529276,0.989805,-3.92392,0.00357089
1.44093,-0.987083,0.000855824,0.987083,0.000855824,0.989593,-3.90873,0.00532262
1.44547,-0.987181,0.000582468,0.987181,0.000582468,0.989377,-3.91196,0.0039459
1.45001,-0.991029,0.000485962,0.991029,0.000485962,0.989158,-3.93451,0.00335265
1.45455,-0.990907,0.000516965,0.990907,0.000516965,0.988935,-3.93147,0.0038712
1.45909,-0.990882,0.000603598,0.990882,0.000603598,0.988709,-3.93176,0.00440549
1.46362,-0.988824,0.00056924,0.988824,0.00056924,0.988479,-3.91637,0.00387571
1.46816,-0.988211,0.000584999,0.988211,0.000584999,0.988245,-3.9152,0.0038956
1.4727,-0.984755,0.000932803,0.984755,0.000932803,0.988008,-3.89794,0.0041661
1.47724,-0.989044,0.000586394,0.989044,0.000586394,0.987767,-3.91853,0.00411428
1.48178,-0.987475,0.00062081,0.987475,0.00062081,0.987522,-3.90804,0.00435007
1.48632,-0.986544,0.000647949,0.986544,0.000647949,0.987273,-3.90382,0.00442495
1.49085,-0.987745,0.000583704,0.987745,0.000583704,0.987021,-3.91343,0.00372193
1.49539,-0.987402,0.00079277,0.987402,0.00079277,0.986764,-3.90725,0.00542744
1.49993,-0.989338,0.000618697,0.989338,0.000618697,0.986504,-3.9201,0.00436674
1.50447,-0.985049,0.000774882,0.985049,0.000774882,0.986239,-3.89245,0.00512084
1.50901,-0.984779,0.000733232,0.984779,0.000733232,0.98597,-3.89382,0.00414584
1.51355,-0.985882,0.000632353,0.985882,0.000632353,0.985697,-3.89578,0.00451658
1.51808,-0.986789,0.000701237,0.986789,0.000701237,0.98542,-3.90186,0.00501949
1.52262,-0.984485,0.000731953,0.984485,0.000731953,0.985138,-3.88951,0.00500442
1.52716,-0.987059,0.000621139,0.987059,0.000621139,0.984853,-3.90627,0.0039602
1.5317,-0.984069,0.000682271,0.984069,0.000682271,0.984562,-3.88627,0.0049425
1.53624,-0.985809,0.000749856,0.985809,0.000749856,0.984268,-3.89833,0.0048074
1.54078,-0.98473,0.000704775,0.98473,0.000704775,0.983968,-3.88882,0.004637
1.54532,-0.983971,0.00069461,0.983971,0.00069461,0.983665,-3.88637,0.00451811
1.54985,-0.983505,0.000684223,0.983505,0.000684223,0.983356,-3.88275,0.00460672
1.55439,-0.983015,0.00073446,0.983015,0.00073446,0.983043,-3.87882,0.00476628
1.55893,-0.983897,0.000828895,0.983897,0.000828895,0.982725,-3.88657,0.00498329
1.56347,-0.980882,0.000665404,0.980882,0.000665404,0.982403,-3.86176,0.00444316
1.56801,-0.98223,0.000854138,0.98223,0.000854138,0.982075,-3.87275,0.00557711
1.57255,-0.982377,0.000813681,0.982377,0.000813681,0.981743,-3.87382,0.00568208
1.57708,-0.981373,0.000838894,0.981373,0.000838894,0.981405,-3.86833,0.00548021
1.58162,-0.980711,0.000690672,0.980711,0.000690672,0.981063,-3.86461,0.00454141
1.58616,-0.9825,0.000819493,0.9825,0.000819493,0.980715,-3.87314,0.0056028
1.5907,-0.978701,0.00116892,0.978701,0.00116892,0.980362,-3.85725,0.00634825
1.59524,-0.980098,0.000890337,0.980098,0.000890337,0.980004,-3.86657,0.00488593
1.59978,-0.981422,0.000800597,0.981422,0.000800597,0.97964,-3.86637,0.00529535
1.60431,-0.979069,0.00112342,0.979069,0.00112342,0.979271,-3.85196,0.00679544
1.60885,-0.980858,0.000911857,0.980858,0.000911857,0.978897,-3.86343,0.00597296
1.61339,-0.97875,0.000740131,0.97875,0.000740131,0.978517,-3.84706,0.00494118
1.61793,-0.974681,0.00105245,0.974681,0.00105245,0.978131,-3.82961,0.0058458
1.62247,-0.978309,0.000886184,0.978309,0.000886184,0.977739,-3.8451,0.00549419
1.62701,-0.979314,0.000701289,0.979314,0.000701289,0.977342,-3.85176,0.00485036
1.63154,-0.975025,0.001069,0.975025,0.001069,0.976939,-3.82853,0.00661
1.63608,-0.979804,0.000695198,0.979804,0.000695198,0.976529,-3.85206,0.00483487
1.64062,-0.977034,0.00106295,0.977034,0.00106295,0.976114,-3.83824,0.00669624
1.64516,-0.975123,0.000815937,0.975123,0.000815937,0.975693,-3.82735,0.00487964
