T/T_C,m,e,c,chi,rel c,rel chi
1.99E-01,0.999914,-1.99965,1.74E-03,8.69E-04,0.00058455,0.000000869
2.01E-01,0.999904,-1.99962,1.90E-03,9.51E-04,0.000638301,0.000000951
2.03E-01,0.999895,-1.99958,2.08E-03,1.04E-03,0.000698772,0.00000104
2.05E-01,0.999884,-1.99954,2.27E-03,1.13E-03,0.000762602,0.00000113
2.07E-01,0.999873,-1.99949,2.47E-03,1.23E-03,0.000829792,0.00000123
2.09E-01,0.99986,-1.99944,2.68E-03,1.34E-03,0.000900341,0.00000134
2.11E-01,0.999847,-1.99939,2.91E-03,1.45E-03,0.000977609,0.00000145
2.13E-01,0.999833,-1.99933,3.15E-03,1.57E-03,0.001058237,0.00000157
2.15E-01,0.999817,-1.99927,3.40E-03,1.70E-03,0.001142224,0.0000017
2.17E-01,0.999801,-1.9992,3.67E-03,1.84E-03,0.00123293,0.00000184
2.19E-01,0.999783,-1.99913,3.96E-03,1.98E-03,0.001330355,0.00000198
2.21E-01,0.999765,-1.99906,4.27E-03,2.13E-03,0.001434499,0.00000213
2.23E-01,0.999745,-1.99898,4.59E-03,2.29E-03,0.001542002,0.00000229
2.25E-01,0.999724,-1.99889,4.92E-03,2.46E-03,0.001652865,0.00000246
2.27E-01,0.999701,-1.9988,5.28E-03,2.64E-03,0.001773806,0.00000264
2.29E-01,0.999677,-1.99871,5.65E-03,2.83E-03,0.001898107,0.00000283
2.31E-01,0.999652,-1.99861,6.05E-03,3.03E-03,0.002032486,0.00000303
2.33E-01,0.999625,-1.9985,6.46E-03,3.23E-03,0.002170225,0.00000323
