Sweep,Mag,E_N,Beta,Temp
6,-0.24875,0.6925,0.25,4
7,-0.125,0.59,0.25,4
8,-0.1,0.6325,0.25,4
9,-0.06375,0.5275,0.25,4
10,-0.02375,0.5225,0.25,4
0,-1,2,0.25,4
1,-0.76125,1.275,0.25,4
2,-0.59375,0.93,0.25,4
3,-0.51875,0.8725,0.25,4
4,-0.40625,0.73,0.25,4
5,-0.31625,0.7,0.25,4
6,-0.235,0.6125,0.25,4
7,-0.19625,0.64,0.25,4
8,-0.13125,0.5925,0.25,4
9,-0.16,0.5925,0.25,4
10,-0.0925,0.545,0.25,4
0,-1,2,0.25,4
1,-0.7525,1.26,0.25,4
2,-0.53875,0.8725,0.25,4
3,-0.42,0.8,0.25,4
4,-0.30375,0.71,0.25,4
5,-0.19625,0.6225,0.25,4
6,-0.14,0.5975,0.25,4
7,-0.125,0.5675,0.25,4
8,-0.055,0.49,0.25,4
9,-0.05625,0.4825,0.25,4
10,0,0.5525,0.25,4
0,-1,2,0.25,4
1,-0.74375,1.2125,0.25,4
2,-0.61625,0.985,0.25,4
3,-0.48875,0.775,0.25,4
4,-0.35875,0.6675,0.25,4
5,-0.32375,0.6575,0.25,4
6,-0.24375,0.61,0.25,4
7,-0.1075,0.5,0.25,4
8,-0.15375,0.565,0.25,4
9,-0.1675,0.575,0.25,4
10,-0.0925,0.5575,0.25,4
0,-1,2,0.25,4
1,-0.745,1.2475,0.25,4
2,-0.525,0.8175,0.25,4
3,-0.41375,0.7,0.25,4
4,-0.3025,0.6425,0.25,4
5,-0.2375,0.68,0.25,4
6,-0.145,0.5625,0.25,4
7,-0.16,0.5475,0.25,4
8,-0.14625,0.5175,0.25,4
9,-0.12125,0.5275,0.25,4
10,-0.115,0.5475,0.25,4
0,-1,2,0.25,4
1,-0.76875,1.275,0.25,4
2,-0.6075,0.98,0.25,4
3,-0.4325,0.735,0.25,4
4,-0.32625,0.6925,0.25,4
5,-0.2725,0.6725,0.25,4
6,-0.22625,0.625,0.25,4
7,-0.155,0.595,0.25,4
8,-0.07875,0.575,0.25,4
9,-0.06125,0.585,0.25,4
10,-0.0875,0.5375,0.25,4
0,-1,2,0.25,4
1,-0.76375,1.275,0.25,4
2,-0.59375,0.9575,0.25,4
3,-0.455,0.715,0.25,4
4,-0.4175,0.7525,0.25,4
5,-0.3375,0.675,0.25,4
6,-0.2175,0.565,0.25,4
7,-0.1575,0.575,0.25,4
8,-0.1375,0.555,0.25,4
9,-0.1325,0.5325,0.25,4
10,-0.11125,0.5625,0.25,4
0,-1,2,0.25,4
1,-0.75625,1.2775,0.25,4
2,-0.56875,0.9275,0.25,4
3,-0.395,0.69,0.25,4
4,-0.28875,0.62,0.25,4
5,-0.22875,0.585,0.25,4
6,-0.18375,0.5325,0.25,4
7,-0.13125,0.585,0.25,4
8,-0.09375,0.5975,0.25,4
9,-0.02375,0.57,0.25,4
10,-0.04125,0.53,0.25,4
0,-1,2,0.25,4
1,-0.76875,1.295,0.25,4
2,-0.59875,0.9975,0.25,4
3,-0.49,0.81,0.25,4
4,-0.34875,0.7875,0.25,4
5,-0.345,0.7275,0.25,4
6,-0.2725,0.625,0.25,4
7,-0.19625,0.57,0.25,4
8,-0.1975,0.58,0.25,4
9,-0.1175,0.5425,0.25,4
10,-0.07375,0.5775,0.25,4
0,-1,2,0.25,4
1,-0.72625,1.2125,0.25,4
2,-0.5725,0.9375,0.25,4
3,-0.43,0.7475,0.25,4
4,-0.355,0.6475,0.25,4
5,-0.275,0.6525,0.25,4
6,-0.20875,0.5625,0.25,4
7,-0.14,0.5725,0.25,4
8,-0.08125,0.5925,0.25,4
9,-0.07,0.525,0.25,4
10,-0.065,0.49,0.25,4
0,-1,2,0.25,4
1,-0.735,1.195,0.25,4
2,-0.55375,0.8975,0.25,4
3,-0.455,0.7975,0.25,4
4,-0.40625,0.73,0.25,4
5,-0.30625,0.62,0.25,4
6,-0.2325,0.69,0.25,4
7,-0.21875,0.625,0.25,4
8,-0.185,0.6075,0.25,4
9,-0.0875,0.6325,0.25,4
10,-0.0625,0.5725,0.25,4
0,-1,2,0.25,4
1,-0.7825,1.32,0.25,4
2,-0.5725,0.8975,0.25,4
3,-0.3975,0.6475,0.25,4
4,-0.28375,0.585,0.25,4
5,-0.15625,0.6,0.25,4
6,-0.12,0.5125,0.25,4
7,-0.09625,0.55,0.25,4
8,-0.07875,0.6025,0.25,4
9,-0.03,0.605,0.25,4
10,0.015,0.69,0.25,4
0,-1,2,0.25,4
1,-0.78375,1.3675,0.25,4
2,-0.55625,0.8825,0.25,4
3,-0.455,0.7775,0.25,4
4,-0.37625,0.61,0.25,4
5,-0.28625,0.55,0.25,4
6,-0.22375,0.5075,0.25,4
7,-0.155,0.5875,0.25,4
8,-0.0675,0.6025,0.25,4
9,-0.07375,0.5825,0.25,4
10,-0.075,0.5825,0.25,4
0,-1,2,0.25,4
1,-0.73375,1.2925,0.25,4
2,-0.515,0.8475,0.25,4
3,-0.39,0.7625,0.25,4
4,-0.3025,0.66,0.25,4
5,-0.19375,0.5825,0.25,4
6,-0.11875,0.595,0.25,4
7,-0.09,0.57,0.25,4
8,-0.07375,0.6225,0.25,4
9,-0.0575,0.565,0.25,4
10,-0.03375,0.5925,0.25,4
0,-1,2,0.25,4
1,-0.7175,1.1475,0.25,4
2,-0.55625,0.875,0.25,4
3,-0.44875,0.7625,0.25,4
4,-0.3725,0.695,0.25,4
5,-0.295,0.725,0.25,4
6,-0.27,0.71,0.25,4
7,-0.19875,0.5775,0.25,4
8,-0.1925,0.6425,0.25,4
9,-0.16625,0.615,0.25,4
10,-0.11875,0.545,0.25,4
0,-1,2,0.25,4
1,-0.76125,1.2925,0.25,4
2,-0.55125,0.9,0.25,4
3,-0.475,0.8425,0.25,4
4,-0.33875,0.715,0.25,4
5,-0.27125,0.6675,0.25,4
6,-0.1375,0.5625,0.25,4
7,-0.08125,0.4875,0.25,4
8,-0.08125,0.5625,0.25,4
9,-0.05,0.5175,0.25,4
10,-0.04625,0.56,0.25,4
0,-1,2,0.25,4
1,-0.77625,1.2975,0.25,4
2,-0.6125,1.0275,0.25,4
3,-0.47625,0.7875,0.25,4
