Sweep,0.2m,0.2e,0.25m,0.25e,0.3m,0.3e,0.35m,0.35e,0.4m,0.4e,0.45m,0.45e,0.5m,0.5e,0.6m,0.6e,0.7m,0.7e
74,-0.00755,-0.8633,-0.003125,-1.1039,0.00345,-1.3866,-0.00345,-1.7633,-0.347575,-2.2649,-0.770375,-3.0316,-0.908925,-3.4802,-0.9747,-3.8263,-0.990425,-1.9649
75,-0.009475,-0.8685,-0.000625,-1.1447,0.00825,-1.4001,-0.000725,-1.7659,-0.3486,-2.2649,-0.771575,-3.0299,-0.91065,-3.4803,-0.9733,-3.8136,-0.990625,-1.9656
76,-0.010075,-0.8828,0.002975,-1.1086,0.0141,-1.4151,0.000775,-1.7956,-0.344575,-2.2458,-0.772225,-3.0289,-0.908225,-3.471,-0.972925,-3.8113,-0.98975,-1.96205
77,-0.0086,-0.8521,-0.004325,-1.0992,0.01365,-1.4071,0.00055,-1.7697,-0.340025,-2.2576,-0.770575,-3.0222,-0.91235,-3.491,-0.9741,-3.8205,-0.989825,-1.96265
78,-0.006375,-0.8634,0.004175,-1.1046,0.00735,-1.4169,0.000975,-1.769,-0.33125,-2.2463,-0.7724,-3.031,-0.911325,-3.4885,-0.97475,-3.8242,-0.989825,-1.96195
79,0.000625,-0.864,-0.001625,-1.1023,0.008775,-1.4057,0.0028,-1.7858,-0.3224,-2.2632,-0.7731,-3.0381,-0.9129,-3.4957,-0.974325,-3.8215,-0.98975,-1.96215
80,-0.000925,-0.8658,-0.0039,-1.0992,0.00835,-1.4264,0.007375,-1.7798,-0.31845,-2.2601,-0.7725,-3.0389,-0.914,-3.4955,-0.97365,-3.8169,-0.9899,-1.96335
81,0.005925,-0.8605,-0.008525,-1.1155,0.012025,-1.4123,0.002275,-1.7575,-0.32275,-2.2635,-0.77205,-3.0463,-0.91475,-3.5067,-0.97315,-3.8156,-0.98985,-1.9625
82,0.000975,-0.8601,-0.007825,-1.1128,0.0019,-1.4068,0.005325,-1.7681,-0.316875,-2.2706,-0.774475,-3.0539,-0.91155,-3.4971,-0.973675,-3.8178,-0.99005,-1.9633
83,-0.001175,-0.8674,-0.007625,-1.1215,0.001225,-1.386,0.010225,-1.7652,-0.30585,-2.264,-0.776325,-3.0628,-0.91305,-3.5002,-0.9736,-3.8169,-0.990275,-1.96375
84,-0.000875,-0.877,-0.0073,-1.1303,-0.007725,-1.3797,5.00E-05,-1.7667,-0.307825,-2.2702,-0.774475,-3.055,-0.91255,-3.497,-0.973325,-3.816,-0.9904,-1.9647
85,-0.002025,-0.8567,-0.007225,-1.0996,-0.011025,-1.4086,0.000375,-1.7457,-0.302425,-2.2662,-0.7741,-3.0589,-0.912675,-3.4921,-0.97395,-3.818,-0.989975,-1.9631
86,-0.004125,-0.8656,-0.00675,-1.1218,-0.014875,-1.4047,0.0014,-1.7626,-0.29675,-2.273,-0.775,-3.0678,-0.914125,-3.5039,-0.97205,-3.8071,-0.989775,-1.96275
87,0.004975,-0.8632,-0.00915,-1.1129,-0.0284,-1.4075,0.000875,-1.7604,-0.2988,-2.2772,-0.774925,-3.0639,-0.91605,-3.5103,-0.9738,-3.8186,-0.99055,-1.96525
88,0.002725,-0.8622,-0.00835,-1.1018,-0.027525,-1.414,0.0016,-1.7395,-0.294775,-2.2672,-0.773175,-3.0589,-0.915175,-3.5058,-0.9738,-3.8166,-0.9913,-1.96745
